Weights:
0.23314256164336022, 0.07408645923475499
0.09532799542567238, 0.5837901324804103
0.2566815957391133, 0.5416572809324672
0.6393394512815954, 0.294286531452037
0.7513654517644976, 0.9944729653183639
0.6064952673598065, 0.8001832836494068
0.7658736963132379, 0.43685870586571296
0.2893416596980837, 0.02539333265570265
Bias:
0.09134270820338863, 0.7032625320946309
parameter ends

Rollout 0: 
state | action | reward
[ 0.7  -0.32 -1.74 -0.93  1.93 -2.4   3.88  0.11] | [2.18 1.05] | -0.8692635624972632
[ 0.6  -0.16 -1.73 -0.8   2.1  -2.49  3.97  0.46] | [2.5  1.32] | -0.7257104040406275
[ 0.5  -0.   -1.71 -0.64  2.23 -2.55  3.98  0.76] | [2.76 1.56] | -0.5545361116154388
[ 0.39  0.15 -1.67 -0.46  2.33 -2.59  3.92  1.05] | [2.96 1.77] | -0.36347959973058636
[ 0.29  0.31 -1.62 -0.26  2.39 -2.61  3.81  1.32] | [3.11 1.93] | -0.15935524748183924
[ 0.19  0.46 -1.57 -0.05  2.42 -2.62  3.66  1.57] | [3.22 2.06] | 0.05249585877484523
[ 0.08  0.6  -1.5   0.16  2.41 -2.63  3.48  1.82] | [3.3  2.16] | 0.26797363767546706
[-0.02  0.74 -1.42  0.38  2.39 -2.63  3.28  2.07] | [3.34 2.23] | 0.4836558601887939
[-0.13  0.86 -1.33  0.59  2.33 -2.63  3.07  2.31] | [3.36 2.26] | 0.6962920201062821
[-0.23  0.98 -1.24  0.8   2.25 -2.62  2.85  2.56] | [3.34 2.27] | 0.9024539312545525
[-0.34  1.09 -1.13  1.    2.13 -2.61  2.61  2.81] | [3.3  2.25] | 1.0982100707384441
[-0.44  1.19 -1.01  1.19  1.99 -2.59  2.37  3.06] | [3.23 2.19] | 1.2780471904129092
[-0.55  1.28 -0.88  1.36  1.83 -2.57  2.11  3.32] | [3.13 2.1 ] | 1.4348591638942287
[-0.65  1.36 -0.75  1.51  1.64 -2.53  1.87  3.56] | [2.99 2.  ] | 1.561667707655118
[-0.75  1.43 -0.6   1.61  1.43 -2.49  1.63  3.77] | [2.83 1.87] | 1.6534777711323427
[-0.85  1.49 -0.45  1.69  1.21 -2.44  1.42  3.93] | [2.65 1.73] | 1.7091995886396538
[-0.94  1.54 -0.29  1.73  0.98 -2.38  1.23  4.03] | [2.45 1.6 ] | 1.7323477476277944
[-1.04  1.59 -0.12  1.74  0.76 -2.32  1.09  4.06] | [2.25 1.48] | 1.7295775529531079
[-1.13  1.63  0.04  1.72  0.55 -2.26  0.97  4.05] | [2.05 1.36] | 1.7077665754018778
[-1.22  1.67  0.2   1.69  0.35 -2.2   0.88  3.99] | [1.85 1.26] | 1.6716164150622204
[-1.31  1.7   0.36  1.65  0.16 -2.15  0.81  3.91] | [1.66 1.17] | 1.6230948188303769
[-1.39  1.73  0.51  1.6  -0.01 -2.11  0.74  3.81] | [1.47 1.08] | 1.4588931251869315
[-1.47  1.75  0.67  1.22 -0.3  -1.61 -0.01  4.2 ] | [0.88 0.86] | 1.1346957769942656
[-1.53  1.75  0.83  1.08 -0.41 -1.5  -0.07  3.92] | [0.67 0.84] | 1.0401006978395009
[-1.59  1.75  0.98  1.   -0.49 -1.47 -0.05  3.63] | [0.54 0.85] | 0.921300986725532
[-1.64  1.74  1.12  0.85 -0.57 -1.36 -0.14  3.48] | [0.36 0.84] | 0.740817129052022
[-1.7   1.73  1.26  0.64 -0.63 -1.16 -0.35  3.41] | [0.13 0.83] | 0.49254022223377647
[-1.74  1.71  1.4   0.35 -0.68 -0.88 -0.68  3.41] | [-0.14  0.84] | 0.16548941677644172
[-1.76  1.67  1.54 -0.02 -0.71 -0.48 -1.15  3.48] | [-0.47  0.88] | -0.263518288215777
[-1.77  1.61  1.68 -0.51 -0.72  0.08 -1.82  3.64] | [-0.89  0.92] | -0.4369314205498319
[-1.76  1.55  1.78  0.06 -0.32 -0.05 -0.81 -0.05] | [-0.59  1.74] | 0.0676170262842638
[-1.76  1.52  1.76 -0.04 -0.26  0.19 -0.96 -0.41] | [-0.68  1.87] | -0.21180681461254577
[-1.75  1.47  1.75 -0.36 -0.27  0.6  -1.48 -0.11] | [-0.97  1.83] | -0.5348285927758162
[-1.71  1.4   1.75 -0.69 -0.3   1.05 -2.05 -0.02] | [-1.33  1.78] | -0.824004457844686
[-1.66e+00  1.30e+00  1.75e+00 -9.47e-01 -3.75e-01  1.40e+00 -2.50e+00
 -2.24e-04] | [-1.68  1.67] | -1.051335275257647
[-1.60e+00  1.20e+00  1.75e+00 -1.15e+00 -4.87e-01  1.66e+00 -2.86e+00
  1.49e-03] | [-2.    1.49] | -1.2315359496770388
[-1.53e+00  1.08e+00  1.75e+00 -1.31e+00 -6.35e-01  1.86e+00 -3.17e+00
  1.15e-03] | [-2.33  1.25] | -1.3813081638094458
[-1.45e+00  9.43e-01  1.75e+00 -1.45e+00 -8.12e-01  2.04e+00 -3.46e+00
  4.94e-04] | [-2.65  0.98] | -1.5116783554051543
[-1.37e+00  8.00e-01  1.75e+00 -1.57e+00 -1.01e+00  2.21e+00 -3.73e+00
 -5.78e-04] | [-2.99  0.68] | -1.6253443429471273
[-1.28  0.65  1.75 -1.68 -1.24  2.37 -4.   -0.01] | [-3.32  0.36] | -1.7232497680371248
[-1.18  0.48  1.75 -1.77 -1.47  2.53 -4.26 -0.01] | [-3.65  0.02] | -1.7976122558307388
[-1.07  0.31  1.75 -1.82 -1.71  2.68 -4.5  -0.01] | [-3.96 -0.31] | -1.835928467657878
[-0.96  0.12  1.75 -1.84 -1.94  2.79 -4.69 -0.01] | [-4.2  -0.63] | -1.7774386898716708
[-0.85 -0.07  1.74 -1.71 -2.07  2.79 -4.63 -0.25] | [-4.24 -0.82] | -1.602134368733503
[-0.74 -0.25  1.72 -1.5  -2.16  2.73 -4.42 -0.61] | [-4.14 -0.91] | -1.3845945352122195
[-0.63 -0.42  1.69 -1.27 -2.22  2.69 -4.19 -0.97] | [-4.   -0.96] | -1.1601523424652664
[-0.53 -0.58  1.65 -1.05 -2.27  2.66 -3.95 -1.3 ] | [-3.83 -0.98] | -0.9344387252322843
[-0.42 -0.73  1.59 -0.82 -2.32  2.64 -3.72 -1.6 ] | [-3.64 -1.  ] | -0.7065902729120592
[-0.32 -0.88  1.52 -0.59 -2.36  2.64 -3.49 -1.87] | [-3.44 -0.99] | -0.4758199940628965
[-0.21 -1.01  1.44 -0.36 -2.39  2.64 -3.26 -2.13] | [-3.22 -0.97] | -0.24310144388464258
[-0.1  -1.14  1.35 -0.13 -2.39  2.64 -3.04 -2.36] | [-2.98 -0.93] | -0.011553546467271162
[ 7.85e-04 -1.26e+00  1.25e+00  1.04e-01 -2.37e+00  2.64e+00 -2.82e+00
 -2.55e+00] | [-2.72 -0.87] | 0.2137073499225992
[ 0.11 -1.36  1.15  0.32 -2.33  2.63 -2.62 -2.7 ] | [-2.45 -0.79] | 0.42614700787472437
[ 0.21 -1.47  1.04  0.53 -2.25  2.61 -2.44 -2.79] | [-2.18 -0.7 ] | 0.6184845491613398
[ 0.32 -1.56  0.92  0.71 -2.14  2.59 -2.3  -2.8 ] | [-1.91 -0.61] | 0.7852042055405012
[ 0.42 -1.65  0.81  0.86 -2.02  2.56 -2.21 -2.73] | [-1.66 -0.53] | 0.9250725815135735
[ 0.52 -1.74  0.71  0.99 -1.89  2.52 -2.15 -2.59] | [-1.42 -0.46] | 0.8741353950267153
[ 0.58 -1.76  0.58  0.82 -0.8   0.94  0.24 -3.57] | [-0.15  0.25] | 0.7187531491692551
[ 0.61 -1.75  0.46  0.63 -0.59  0.71  0.13 -2.5 ] | [-0.04  0.14] | 0.5824751495836509
[ 0.63 -1.75  0.37  0.54 -0.49  0.6   0.04 -1.87] | [-0.01  0.05] | 0.5076706599122558
[ 0.66 -1.74  0.3   0.48 -0.43  0.53  0.01 -1.55] | [0.02 0.  ] | 0.46451052881321625
[ 0.68 -1.74  0.24  0.45 -0.38  0.47  0.02 -1.4 ] | [ 0.05 -0.02] | 0.4347919095886461
[ 0.69 -1.74  0.19  0.42 -0.33  0.41  0.08 -1.34] | [ 0.08 -0.03] | 0.40825904085583853
[ 0.71 -1.74  0.13  0.39 -0.27  0.34  0.16 -1.33] | [ 0.12 -0.03] | 0.3788451205136998
[ 0.72 -1.73  0.08  0.36 -0.21  0.26  0.27 -1.34] | [ 0.16 -0.02] | 0.342721330411745
[ 0.73 -1.72  0.03  0.32 -0.13  0.15  0.4  -1.37] | [ 0.21 -0.01] | 0.2971964221752799
[ 0.73 -1.7  -0.03  0.27 -0.04  0.02  0.57 -1.4 ] | [0.28 0.02] | 0.24009385614360348
[ 0.73 -1.67 -0.09  0.21  0.06 -0.13  0.77 -1.43] | [0.35 0.05] | 0.17056626976274292
[ 0.72 -1.63 -0.14  0.13  0.2  -0.33  1.01 -1.45] | [0.45 0.1 ] | 0.090189470748723
[ 0.7  -1.59 -0.2   0.05  0.36 -0.56  1.29 -1.47] | [0.58 0.17] | 0.0023513059506882687
[ 0.68 -1.53 -0.26 -0.04  0.55 -0.83  1.63 -1.48] | [0.74 0.27] | -0.08714917318871448
[ 0.64 -1.46 -0.32 -0.13  0.8  -1.14  2.02 -1.46] | [0.97 0.42] | -0.16840004957976723
[ 0.58 -1.37 -0.38 -0.2   1.12 -1.52  2.5  -1.41] | [1.3  0.64] | -0.20791608388226196
[ 0.52 -1.26 -0.43 -0.21  1.38 -1.8   2.75 -1.02] | [1.61 0.82] | -0.18245623049558388
[ 0.44 -1.15 -0.45 -0.15  1.56 -1.98  2.8  -0.37] | [1.88 0.96] | -0.10651928748266205
[ 0.36 -1.04 -0.45 -0.06  1.68 -2.09  2.72  0.4 ] | [2.12 1.06] | -0.006828158067498417
[ 0.27 -0.93 -0.42  0.05  1.78 -2.18  2.65  1.04] | [2.33 1.17] | 0.09975042086502495
[ 0.19 -0.83 -0.37  0.15  1.87 -2.27  2.62  1.48] | [2.53 1.31] | 0.2097286405684691
[ 0.09 -0.72 -0.31  0.27  1.95 -2.35  2.63  1.76] | [2.71 1.46] | 0.32362300255649884
[-2.49e-03 -6.16e-01 -2.32e-01  3.83e-01  2.01e+00 -2.42e+00  2.66e+00
  1.93e+00] | [2.86 1.61] | 0.44072480709273376
[-0.1  -0.51 -0.15  0.5   2.04 -2.47  2.69  2.03] | [2.98 1.74] | 0.5582979965363501
[-0.2  -0.4  -0.07  0.62  2.03 -2.5   2.71  2.08] | [3.07 1.85] | 0.6725622337283637
[-0.3  -0.29  0.01  0.73  1.99 -2.51  2.71  2.11] | [3.12 1.94] | 0.7799469520044768
[-0.4  -0.18  0.1   0.83  1.93 -2.5   2.69  2.12] | [3.15 2.01] | 0.8778777331712447
[-0.5  -0.08  0.18  0.92  1.85 -2.49  2.67  2.13] | [3.15 2.06] | 0.96514358903928
[-0.6   0.03  0.27  1.01  1.75 -2.46  2.64  2.12] | [3.12 2.1 ] | 1.0414053165008421
[-0.7   0.13  0.35  1.08  1.65 -2.43  2.6   2.12] | [3.09 2.12] | 1.1063085839228464
[-0.79  0.24  0.44  1.14  1.54 -2.4   2.56  2.1 ] | [3.04 2.14] | 1.1594428341486915
[-0.89  0.34  0.52  1.18  1.42 -2.35  2.52  2.07] | [2.97 2.15] | 1.2004527257114082
[-0.98  0.44  0.6   1.22  1.31 -2.31  2.47  2.04] | [2.9  2.15] | 1.2291540712429279
[-1.07  0.54  0.68  1.24  1.19 -2.26  2.42  2.  ] | [2.82 2.16] | 1.2456256573353774
[-1.16  0.63  0.76  1.25  1.07 -2.2   2.37  1.95] | [2.73 2.16] | 1.2502578239616837
[-1.25  0.73  0.84  1.25  0.96 -2.14  2.32  1.9 ] | [2.63 2.16] | 1.2437563537870329
[-1.33  0.82  0.92  1.24  0.85 -2.08  2.26  1.85] | [2.53 2.15] | 1.2271085464628448
[-1.42  0.91  0.99  1.22  0.74 -2.01  2.2   1.79] | [2.42 2.15] | 1.2015218012040398
[-1.49  0.99  1.06  1.19  0.64 -1.95  2.14  1.74] | [2.31 2.15] | 1.1683459169380892
[-1.57  1.08  1.13  1.15  0.54 -1.88  2.08  1.68] | [2.2  2.15] | 1.1289896773131276
[-1.65  1.16  1.19  1.11  0.45 -1.82  2.01  1.63] | [2.08 2.15] | 1.0848406415032785
[-1.72  1.24  1.26  1.06  0.37 -1.76  1.95  1.58] | [1.97 2.14] | 1.0371947734401483
[-1.79  1.32  1.32  1.01  0.28 -1.7   1.89  1.53] | [1.86 2.14] | 0.9871999382587159
[-1.85  1.39  1.38  0.96  0.2  -1.65  1.83  1.49] | [1.75 2.13] | 0.9358146856221878
[-1.92  1.46  1.44  0.91  0.12 -1.6   1.78  1.45] | [1.64 2.12] | 0.8837813859293623
[-1.98  1.53  1.5   0.86  0.04 -1.56  1.72  1.43] | [1.53 2.1 ] | 0.8316108464727494
[-2.04  1.6   1.55  0.81 -0.04 -1.52  1.68  1.4 ] | [1.42 2.08] | 0.7795740229372412
[-2.1   1.67  1.61  0.75 -0.13 -1.5   1.64  1.39] | [1.31 2.04] | 0.727695192496589
[-2.16  1.73  1.66  0.7  -0.22 -1.49  1.61  1.39] | [1.2 2. ] | 0.20956713439994756
[-2.19  1.76  1.74 -0.2  -0.01 -0.24 -0.17  2.25] | [0.44 2.24] | -0.07438634779361936
[-2.19  1.75  1.76 -0.01  0.27  0.19 -0.13 -0.26] | [0.34 2.87] | 0.004572106493348935
[-2.19  1.75  1.75  0.02  0.23  0.1  -0.05 -0.14] | [0.36 2.8 ] | 0.02196261337119429
[-2.18  1.75  1.75  0.03  0.2   0.05 -0.01 -0.03] | [0.38 2.75] | 0.026913993590800957
[-2.18  1.75  1.75  0.03  0.19  0.03  0.   -0.  ] | [0.38 2.73] | 0.024527202887861435
[-2.18e+00  1.75e+00  1.75e+00  2.39e-02  1.87e-01  3.43e-02  1.74e-04
 -1.74e-04] | [0.37 2.73] | 0.02221361161473374
[-2.18e+00  1.75e+00  1.75e+00  2.22e-02  1.82e-01  3.43e-02 -1.44e-04
  4.03e-05] | [0.37 2.72] | 0.020705480296886826
[-2.18e+00  1.75e+00  1.75e+00  2.08e-02  1.78e-01  3.40e-02 -5.28e-05
  1.17e-05] | [0.37 2.72] | 0.019314114916867176
[-2.18e+00  1.75e+00  1.75e+00  1.94e-02  1.74e-01  3.38e-02 -4.57e-05
  7.49e-08] | [0.36 2.71] | 0.017989600557787765
[-2.17e+00  1.75e+00  1.75e+00  1.81e-02  1.70e-01  3.36e-02 -4.68e-05
 -3.00e-06] | [0.36 2.71] | 0.016746600569503244
[-2.17e+00  1.75e+00  1.75e+00  1.69e-02  1.66e-01  3.34e-02 -4.43e-05
 -3.34e-06] | [0.36 2.7 ] | 0.01557838692816969
[-2.17e+00  1.75e+00  1.75e+00  1.58e-02  1.62e-01  3.32e-02 -4.20e-05
 -3.14e-06] | [0.35 2.7 ] | 0.014478271933061459
[-2.17e+00  1.75e+00  1.75e+00  1.47e-02  1.59e-01  3.30e-02 -4.00e-05
 -2.94e-06] | [0.35 2.7 ] | 0.01344099730614471
[-2.17e+00  1.75e+00  1.75e+00  1.37e-02  1.55e-01  3.28e-02 -3.82e-05
 -2.75e-06] | [0.35 2.69] | 0.01246177227552023
[-2.17e+00  1.75e+00  1.75e+00  1.27e-02  1.52e-01  3.26e-02 -3.64e-05
 -2.59e-06] | [0.34 2.69] | 0.01153623998593064
[-2.17e+00  1.75e+00  1.75e+00  1.18e-02  1.49e-01  3.24e-02 -3.48e-05
 -2.43e-06] | [0.34 2.69] | 0.010660462027314674
[-2.16e+00  1.75e+00  1.75e+00  1.10e-02  1.46e-01  3.22e-02 -3.33e-05
 -2.29e-06] | [0.34 2.68] | 0.00983086781825959
[-2.16e+00  1.75e+00  1.75e+00  1.02e-02  1.44e-01  3.20e-02 -3.18e-05
 -2.16e-06] | [0.34 2.68] | 0.009044211987399077
[-2.16e+00  1.75e+00  1.75e+00  9.40e-03  1.41e-01  3.18e-02 -3.05e-05
 -2.05e-06] | [0.33 2.68] | 0.008297538714815705
[-2.16e+00  1.75e+00  1.75e+00  8.67e-03  1.38e-01  3.16e-02 -2.92e-05
 -1.94e-06] | [0.33 2.67] | 0.0075881505244340215
[-2.16e+00  1.75e+00  1.75e+00  7.98e-03  1.36e-01  3.14e-02 -2.80e-05
 -1.83e-06] | [0.33 2.67] | 0.006913580964323316
[-2.16e+00  1.75e+00  1.75e+00  7.32e-03  1.34e-01  3.12e-02 -2.69e-05
 -1.74e-06] | [0.33 2.67] | 0.006271570669360653
[-2.16e+00  1.75e+00  1.75e+00  6.69e-03  1.31e-01  3.11e-02 -2.58e-05
 -1.65e-06] | [0.32 2.67] | 0.005660046323102629
[-2.16e+00  1.75e+00  1.75e+00  6.09e-03  1.29e-01  3.09e-02 -2.48e-05
 -1.57e-06] | [0.32 2.66] | 0.005077102117351587
[-2.15e+00  1.75e+00  1.75e+00  5.52e-03  1.27e-01  3.07e-02 -2.39e-05
 -1.49e-06] | [0.32 2.66] | 0.004520983371569002
[-2.15e+00  1.75e+00  1.75e+00  4.98e-03  1.25e-01  3.05e-02 -2.30e-05
 -1.42e-06] | [0.32 2.66] | 0.003990072025590684
[-2.15e+00  1.75e+00  1.75e+00  4.46e-03  1.23e-01  3.03e-02 -2.21e-05
 -1.36e-06] | [0.32 2.66] | 0.0034828737610529724
[-2.15e+00  1.75e+00  1.75e+00  3.96e-03  1.21e-01  3.02e-02 -2.13e-05
 -1.29e-06] | [0.32 2.65] | 0.0029980065432567466
[-2.15e+00  1.75e+00  1.75e+00  3.48e-03  1.19e-01  3.00e-02 -2.06e-05
 -1.24e-06] | [0.31 2.65] | 0.002534190404364228
[-2.15e+00  1.75e+00  1.75e+00  3.03e-03  1.18e-01  2.98e-02 -1.98e-05
 -1.18e-06] | [0.31 2.65] | 0.0020902383147428025
[-2.15e+00  1.75e+00  1.75e+00  2.59e-03  1.16e-01  2.97e-02 -1.91e-05
 -1.13e-06] | [0.31 2.65] | 0.0016650480100455405
[-2.15e+00  1.75e+00  1.75e+00  2.18e-03  1.14e-01  2.95e-02 -1.85e-05
 -1.08e-06] | [0.31 2.65] | 0.0012575946597133182
[-2.15e+00  1.75e+00  1.75e+00  1.78e-03  1.12e-01  2.93e-02 -1.78e-05
 -1.04e-06] | [0.31 2.65] | 0.0008669242780638488
[-2.14e+00  1.75e+00  1.75e+00  1.39e-03  1.11e-01  2.92e-02 -1.72e-05
 -9.93e-07] | [0.31 2.64] | 0.0004921477920476208
[-2.14e+00  1.75e+00  1.75e+00  1.02e-03  1.09e-01  2.90e-02 -1.67e-05
 -9.52e-07] | [0.31 2.64] | 0.00013243569082613336
[-2.14e+00  1.75e+00  1.75e+00  6.70e-04  1.08e-01  2.89e-02 -1.61e-05
 -9.14e-07] | [0.31 2.64] | -0.00021298680795918965
[-2.14e+00  1.75e+00  1.75e+00  3.31e-04  1.07e-01  2.87e-02 -1.56e-05
 -8.78e-07] | [0.3  2.64] | -0.00054484411220272
[-2.14e+00  1.75e+00  1.75e+00  4.17e-06  1.05e-01  2.86e-02 -1.51e-05
 -8.44e-07] | [0.3  2.64] | -0.000863814139149987
[-2.14e+00  1.75e+00  1.75e+00 -3.10e-04  1.04e-01  2.84e-02 -1.46e-05
 -8.11e-07] | [0.3  2.64] | -0.0011705319830673925
[-2.14e+00  1.75e+00  1.75e+00 -6.11e-04  1.02e-01  2.83e-02 -1.41e-05
 -7.81e-07] | [0.3  2.63] | -0.0014655932515842997
[-2.14e+00  1.75e+00  1.75e+00 -9.02e-04  1.01e-01  2.81e-02 -1.37e-05
 -7.51e-07] | [0.3  2.63] | -0.001749557041543949
[-2.13e+00  1.75e+00  1.75e+00 -1.18e-03  9.99e-02  2.80e-02 -1.33e-05
 -7.24e-07] | [0.3  2.63] | -0.002022948650428636
[-2.13e+00  1.75e+00  1.75e+00 -1.45e-03  9.87e-02  2.78e-02 -1.28e-05
 -6.97e-07] | [0.3  2.63] | -0.002286262050116338
[-2.13e+00  1.75e+00  1.75e+00 -1.71e-03  9.75e-02  2.77e-02 -1.25e-05
 -6.72e-07] | [0.3  2.63] | -0.002539962148594808
[-2.13e+00  1.75e+00  1.75e+00 -1.96e-03  9.64e-02  2.75e-02 -1.21e-05
 -6.48e-07] | [0.3  2.63] | -0.002784486860223253
[-2.13e+00  1.75e+00  1.75e+00 -2.20e-03  9.52e-02  2.74e-02 -1.17e-05
 -6.25e-07] | [0.3  2.63] | -0.0030202490032147722
[-2.13e+00  1.75e+00  1.75e+00 -2.43e-03  9.41e-02  2.73e-02 -1.14e-05
 -6.04e-07] | [0.3  2.63] | -0.0032476380406184064
[-2.13e+00  1.75e+00  1.75e+00 -2.66e-03  9.31e-02  2.71e-02 -1.10e-05
 -5.83e-07] | [0.29 2.62] | -0.003467021679783949
[-2.13e+00  1.75e+00  1.75e+00 -2.87e-03  9.20e-02  2.70e-02 -1.07e-05
 -5.63e-07] | [0.29 2.62] | -0.0036787473432805034
[-2.13e+00  1.75e+00  1.75e+00 -3.08e-03  9.10e-02  2.68e-02 -1.04e-05
 -5.44e-07] | [0.29 2.62] | -0.0038831435233319888
[-2.13e+00  1.75e+00  1.75e+00 -3.28e-03  9.00e-02  2.67e-02 -1.01e-05
 -5.26e-07] | [0.29 2.62] | -0.004080521030019775
[-2.12e+00  1.75e+00  1.75e+00 -3.48e-03  8.90e-02  2.66e-02 -9.81e-06
 -5.09e-07] | [0.29 2.62] | -0.004271174143116069
[-2.12e+00  1.75e+00  1.75e+00 -3.67e-03  8.81e-02  2.65e-02 -9.53e-06
 -4.92e-07] | [0.29 2.62] | -0.004455381675848044
[-2.12e+00  1.75e+00  1.75e+00 -3.85e-03  8.72e-02  2.63e-02 -9.26e-06
 -4.76e-07] | [0.29 2.62] | -0.004633407958366871
[-2.12e+00  1.75e+00  1.75e+00 -4.02e-03  8.63e-02  2.62e-02 -9.00e-06
 -4.61e-07] | [0.29 2.62] | -0.004805503747881199
[-2.12e+00  1.75e+00  1.75e+00 -4.19e-03  8.54e-02  2.61e-02 -8.75e-06
 -4.46e-07] | [0.29 2.62] | -0.004971907071722029
[-2.12e+00  1.75e+00  1.75e+00 -4.36e-03  8.45e-02  2.59e-02 -8.50e-06
 -4.32e-07] | [0.29 2.62] | -0.005132844008979651
[-2.12e+00  1.75e+00  1.75e+00 -4.52e-03  8.36e-02  2.58e-02 -8.27e-06
 -4.19e-07] | [0.29 2.61] | -0.005288529415804858
[-2.12e+00  1.75e+00  1.75e+00 -4.67e-03  8.28e-02  2.57e-02 -8.04e-06
 -4.06e-07] | [0.29 2.61] | -0.005439167599128797
